client_id,client_name,country,currency_id,subscription_id,activation_date,inactivation_date,status,contact_email,contact_phone
1,Brennan Group,UK,1,1,2023-01-30,\N,Active,contact@brennangroup.com,05956 720 3228
2,Caldwell Restaurants Ltd,UK,1,1,2022-09-11,\N,Active,contact@caldwellrestaurantsltd.com,01961 437 5724
3,Davies Hospitality,UK,1,1,2022-12-27,\N,Active,contact@davieshospitality.com,09505 622 3656
4,Ellison Dining Co,UK,1,1,2022-02-01,\N,Active,contact@ellisondiningco.com,01316 494 8638
5,Foster Food Group,UK,1,1,2022-08-19,\N,Active,contact@fosterfoodgroup.com,06797 677 4058
6,Griffin Eats Group,UK,1,2,2022-04-18,\N,Active,contact@griffineatsgroup.com,02818 268 3546
7,Hartley Restaurants,UK,1,2,2023-01-22,2023-07-13,Inactive,contact@hartleyrestaurants.com,06111 276 6033
8,Ingram Hospitality,UK,1,2,2022-12-09,\N,Active,contact@ingramhospitality.com,03783 111 2868
9,Jardine Dining Group,UK,1,2,2023-01-06,\N,Active,contact@jardinedininggroup.com,03640 674 5246
10,Kingsley Restaurants,UK,1,2,2023-05-19,\N,Active,contact@kingsleyrestaurants.com,07845 956 6259
11,Lockhart Group,UK,1,2,2022-02-02,\N,Active,contact@lockhartgroup.com,06155 222 5491
12,Morrison Eats,UK,1,2,2023-06-24,\N,Active,contact@morrisoneats.com,09254 837 5045
13,Nash Dining Co,UK,1,2,2022-03-20,\N,Active,contact@nashdiningco.com,07138 104 4639
14,Ogilvie Hospitality,UK,1,3,2023-04-20,\N,Active,contact@ogilviehospitality.com,06441 509 4842
15,Pemberton Restaurants,UK,1,3,2022-02-21,2023-06-19,Inactive,contact@pembertonrestaurants.com,02659 671 2013
16,Quinn Group,UK,1,3,2022-08-04,\N,Active,contact@quinngroup.com,01342 993 2871
17,Redmond Dining,UK,1,3,2022-11-27,\N,Active,contact@redmonddining.com,06263 983 4494
18,Stanley Hospitality,UK,1,3,2023-05-07,\N,Active,contact@stanleyhospitality.com,03580 800 9671
19,Travers Group,UK,1,3,2022-10-07,\N,Active,contact@traversgroup.com,01940 458 8202
20,Underwood Eats,UK,1,3,2022-02-03,\N,Active,contact@underwoodeats.com,05603 276 2408
21,Sharma Foods Ltd,India,4,3,2023-01-04,\N,Active,contact@sharmafoodsltd.com,+91 85833 92616
22,Patel Hospitality,India,4,3,2022-07-23,\N,Active,contact@patelhospitality.com,+91 95435 13602
23,Reddy Dining Group,India,4,3,2022-10-05,\N,Active,contact@reddydininggroup.com,+91 78254 74529
24,Nair Restaurants,India,4,4,2022-07-28,\N,Active,contact@nairrestaurants.com,+91 73642 97856
25,Kapoor Eats Group,India,4,4,2022-06-06,\N,Active,contact@kapooreatsgroup.com,+91 89930 75208
26,Mehta Hospitality,India,4,4,2022-09-16,\N,Active,contact@mehtahospitality.com,+91 97394 31754
27,Iyer Dining Co,India,4,4,2023-05-27,2023-11-08,Inactive,contact@iyerdiningco.com,+91 79453 99321
28,Chowdhury Group,India,4,4,2022-08-05,\N,Active,contact@chowdhurygroup.com,+91 95732 12707
29,Bose Restaurants,India,4,4,2022-06-13,\N,Active,contact@boserestaurants.com,+91 92599 69394
30,Verma Eats,India,4,4,2023-02-01,\N,Active,contact@vermaeats.com,+91 71403 92212
